363,Etihad Etisalat Company (Mobily)
365,Eurotel Praha
366,Eurotranstelecom
367,Euskaltel
368,Everest Broadcasting Company
369,Excellmedia
370,Exe Net Advertising
371,Exetel
372,Fairpoint Communications
373,FE ALTERNATIVNAYA ZIFROVAYA SET
374,First Fibre Broadband Network In New Delhi
375,FLOW
376,FTICOM
377,FUJITSU
378,FUNET
379,Far East Branch of MegaFon
380,FasoNet
381,Fast Telecommunications Company
382,Fastnet
383,Fastweb
384,Fiberlink
385,Fidelity Communication International
386,Finecom Telecommunications
387,Firma Sotrudnik Plus
388,Fivenetwork Solution India Internet
389,Flex
390,Focus Infocom
391,Fortex
392,Forthnet
393,Completel
394,Orange
395,France Telecom Espana
396,Free
397,FreeBit
398,Freenet
399,Frontier Communications of America
400,Fullrate
401,GARANT-GOMEL ISP Company
402,GARR Italian academic and research network
403,GECOM ISP Michalovce
404,GENERAL COMMUNICATION
405,GET Norway
406,GHANATEL
407,GO
408,GPTC
409,GRAPE SC
410,GTS Czech
411,GTS Hungary Telecommunications
412,GTS Poland
413,GTS Slovakia
414,Galitski Telekommunications
415,Global Communication Net
416,Global Crossing
417,Global Telecommunication Systems
418,Global Village Telecom
419,Global-City-Net
420,Globalive Wireless Management
421,Globe Telecom
422,GloboTech Communications
423,Golden Telecom
424,Good Communications
425,Google
426,Gorodskaya Set
427,Gorset
428,Grande Communications Networks
429,Great Wall Broadband Network Service
430,Greek Research and Technology Network
431,Gtd Internet
432,Guangdong Mobile Communication
433,Gujarat Telelik
434,Gulfnet Kuwait
435,Gulfsat
436,H1 Telekom
437,H3G
438,HK Cable TV
439,HT Mostar
440,HUNGARNET
441,Hadara Technologies Private Shareholding Company
442,Hanaro Telecom
443,Hathway IP Over Cable Internet
444,Hawaiian Telcom Services Company
445,Hawe Telekom
446,Hellas OnLine Electronic Communications
447,Herault Telecom
448,Hi3G Access
449,HomeLan
450,Honesty Net Solution (I)
451,Hong Kong Broadband Network
452,Hoshin Multimedia Center
453,House # 43
454,Hrvatski Telekom
455,Hughes Network Systems
456,Hutchison 3G Austria
457,Hutchison 3G UK and Ireland Core
458,Hutchison CP Telecommunications
459,Hutchison Global Communications
460,IAM
461,IC-VORONEZH
462,ICN
463,INEA
464,INECO_AS Rostelecom
465,INETCOM
466,INFONET
467,INSYS
468,INTERNETIA_ETTH2 Internetia
469,INTERRA telecommunications group
470,IRIS64
471,IS
472,IS Group
473,ISKON INTERNET za informatiku i telekomunikacije
474,ISKRATELECOM
475,ISP Fregat
476,ISP Gorcom
477,ISP Satellite
478,ISP Shtorm
479,ISP SoHo.Net
480,ISP TPS - BGP TEXNOPROSISTEM
481,ISP WildPark
482,ISP/IXP IN CAMBODIA
483,IT REGION
484,ITC^Deltacom
485,ITD Network Bulgarian ISP
486,Iberbanda Spanish operations
487,Ilim Telecom
488,In2cable.com (India)
489,IncoNet Data Management
490,Infocentr ISP
491,Infoline
492,Infolink
493,Infolink Technology
494,Information Network
495,Information Technologies
496,Information Technology Company (ITC)
497,Informational-measuring systems
498,Informatsionnye Tekhnologii
499,Infracom Italia
500,Insit
501,Instituto Costarricense de Electricidad y Telecom.
502,Integra Telecom
503,Intelig Telecomunica
504,Intelsat Global BGP Routing Policy
505,Intelsc
506,InterCommunications
507,InterNLnet
508,Interaktivne Kablovske Objedinjene Mreze - I.KOM
509,Interbild
510,Intercon
511,Interdnestrcom
512,Internet By Sercomtel
513,Internet Initiative Japan
514,Internet Service Provider RamNet
515,Internethome
516,Internetia
517,Internode
518,Interoute Communications
519,Interphone
520,Interproekt
521,Intersvyaz-2
522,Intertelecom
523,Investpribor
524,Invitel Tavkozlesi
525,Iowa Network Services
